title,name_shop,image,image_header,image_icon,description,date,time,limited,capacity,cost,tag,address,contact,url_shop,url,updatedAt,createdAt,revisedAt
タイ古式マッサージ,アジアンリラックス ワイテァ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/320c218056d4488abae968a05f5eaf77/%E3%83%AF%E3%82%A4%E3%83%86%E3%82%A3%E3%82%A25%E6%9C%88.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f6c382e2aedf4269b94a2742a6d56d95/hed_waitea1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/eff39d99245f4c9b9e1f6823b0738269/icon_waitea.jpg,<p>世界一気持ちがいいと言われるタイ古式マッサージ。<br><br>独自のストレッチと気持ちいい指圧、ゆったりしたリズムが体を芯から緩めます。<br>乱れた自律神経や疲れた心にもそっと手を差し伸べてくれます。<br></p>,毎日,10時～22時 （最終受付 21時）,,,,"shopping",鯖江市日の出町1-10,0778-67-2098,https://asian-relax.fukui.jp/,https://sabapura.com/event/asian-relax-fukui,2021-05-01T12:26:46.936Z,2021-04-13T05:53:58.276Z,2021-04-27T07:30:23.100Z
発酵ドリンクスタンド,久保田酒店,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/75e5abe281d24b99b4de1469a8084fc6/top_ichigokouji.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0a7e9406c41d47ad951e43c8d8e1dbae/hed_kubotasake1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/731cbe97eb894a88807bc75334ad6a09/icon_kubota.jpg,"<p><span style=""color:#000000"">発酵をテーマにお酒屋さんがつくる、ノンアルコールのドリンクスタンドです。</span><br><br><span style=""color:#000000"">●糀ドリンクスムージー（ノンシュガー）</span><br><span style=""color:#000000"">●無農薬しまなみレモンの糀レモネード（hot&#x2F;cold）</span><br><br>&gt;&gt;新メニュー<br><span style=""color:#000000"">●糀スムージー（いちご）</span><br><span style=""color:#000000"">かき混ぜながら、味変をお楽しみください☆</span><br><br><span style=""color:#000000"">優しい甘さの飲み物でほっこり一息、まち歩き中に気軽にお立ち寄りください。</span></p>",5月22日,10時～17時,,,店頭にて,"shopping",鯖江市旭町1丁目1-4,0778-51-0252,https://www.kubotasaketen.jp,https://sabapura.com/event/kubotasaketen,2021-05-13T08:08:58.513Z,2021-04-08T09:49:57.196Z,2021-05-13T08:07:53.037Z
日本料理の板前がつくる パフェセット,料亭 中松,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/8c5e4a98875a4857b54cdbfc85d9bef0/top_parfait.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f2584814956648a3b6695b830bbb4358/hed_nakamatsu1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/a6245606577244ed95c7cc12feb84955/icon_nakamatsu.jpg,"<p><span style=""color:#000000"">期間中、お料理にミニパフェとコーヒーor和紅茶がセットでつきます。</span><br><span style=""color:#000000"">コーヒーは、エルザスコーヒーさん監修のコーヒーで中松オリジナルです。</span><br><span style=""color:#000000"">※お食事は要予約※</span></p>",5月17日〜5月23日,ランチ11時半〜14時半／ディナー17時半〜21時ラストオーダー,"定員",,店頭にて,"shopping",鯖江市旭町1-5-3,0778-51-0403,https://www.nakamatu.com,https://sabapura.com/event/nakamatu,2021-05-11T09:50:41.435Z,2021-04-06T05:31:19.797Z,2021-05-11T09:50:41.435Z
6/20 父の日ギフト,フラワーショップhanahiro,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/9e9edac3fad44840b6ddabec7be52a75/top_titinohi.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f2f461b82a2649f780f89c3e352264db/hed_manahiro1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/dceded3f38be43c3a00cc45be098a74d/icon_hanahiro.jpg,"<p><span style=""color:#000000"">フラワーショップ花ひろ</span><br><span style=""color:#000000"">サボテン・多肉植物・観葉植物が男性にも大人気！</span><br><span style=""color:#000000"">癒しの植物を贈りませんか？</span></p>",5月10日〜6月20日,9時〜19時,,,店頭にて,"shopping",鯖江市旭町1-6-12,0778-52-4187,https://www.hanahiro1953.com/,https://sabapura.com/event/hanahiro,2021-05-11T09:49:44.213Z,2021-04-08T08:06:26.564Z,2021-05-11T03:48:25.607Z
恵美写真館洋館,恵美写真館洋館,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/5822d5287e1149998d338879e8135d74/top_emi.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/emisyasinkan.html,https://sabapura.com/event/emisyasinkan,2021-05-01T12:27:46.725Z,2021-04-08T03:08:29.615Z,2021-04-08T03:08:29.615Z
大納言とクルミのスコーン限定販売,エルザスコーヒー,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/b70598331e4e449690afea55bee6deb4/top_dainagonscone.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/11c5d6808eb842f98e30df354f8e6c0b/hed_elsass2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/057807d465714016aeb8a1d5f73ad9cf/icon_eelsass.jpg,"<p><span style=""color:#000000"">大納言小豆とクルミ、きなこが入ったスコーンを限定販売。</span></p>",5月22日,11時～18時,,,店頭にて,"shopping",鯖江市本町2-1-20,0778-51-0236,https://www.city.sabae.fukui.jp/kanko/gourmet/elsass.html,https://sabapura.com/event/elsass-coffee,2021-05-07T04:03:53.015Z,2021-03-30T07:46:53.466Z,2021-05-07T04:03:53.015Z
松阜神社,松阜神社,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/6624237812a64a75a728ac8bef6bae3e/top_matsuokajinjya.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/matsuoka.html,https://sabapura.com/event/matsuokajinjya,2021-04-25T10:14:51.164Z,2021-03-30T06:13:40.627Z,2021-03-31T04:00:49.600Z
わらび餅,昭和堂,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/1434ccfc8e044bdd9b799dc56b7de285/top_warabimoti.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/779fb804620b451cbd08b1469c406f61/hed_syowado1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/1d13c00c3397416fa5e977984294a888/icon_syowado.jpg,"<p><span style=""color:#000000"">ぷるんと瑞々しい食感と、香ばしいきなこのわらび餅</span><br><span style=""color:#000000"">GWの頃には待ちわびてるお客様も多く、当店の人気商品の１つです</span><br><span style=""color:#000000"">どうぞ、ご賞味ください（期間限定）</span></p>",毎日（定休日：火曜）,9時〜19時,,,店頭にて,"shopping",鯖江市本町1-1-21,0778-51-0458,,https://sabapura.com/event/syowado,2021-05-06T06:44:04.999Z,2021-04-08T09:31:02.568Z,2021-05-06T06:44:04.999Z
へしこ丼とへしこおにぎり,天喰家,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0ad9902d679c4702b34873c676161904/top_tennkuu.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/bb8bde16f9114197a20604ce4597f2c7/hed_tennkuu1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/783642349edf40fbb18a2b1d4aa2ea35/icon_tenkuya.jpg,"<p><span style=""color:#000000"">営業時間内でしたらへしこおにぎり、へしこ丼はご来店テイクアウト可能です。数が多い場合はあらかじめご連絡下さい。</span><br><span style=""color:#000000"">他お弁当オードブルお刺身盛りなど、お昼のご予約も承っております。（配達可）※事前予約必要</span><br><br><span style=""color:#000000"">店内個室もありますので、ご家族、友人、接待、などでもご利用頂けます。カウンターや小上がりのテーブル席もありますので居酒屋デビューにいかがでしょうか。</span></p>",毎日（定休日：毎週水曜）,18時〜23時,,,店頭にて,"shopping",鯖江市旭町1-8-1-1,0778-52-6424,,https://sabapura.com/event/tenkuya,2021-04-09T05:53:39.100Z,2021-04-08T09:27:23.296Z,2021-04-09T05:53:39.100Z
地蔵橋,地蔵橋,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4a282d9ddcb5441e9a21811a13a14dd6/top_jizobashi.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/zizoubashi.html,https://sabapura.com/event/zizoubashi,2021-05-11T09:49:54.598Z,2021-03-30T07:09:20.729Z,2021-03-31T04:01:29.609Z
春のおすすめ食材,旬亭まつや,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/3534b245d4f04bc3b2002ae4848b2890/top_sakana.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/2a91c2c0d02848cab6718e33eea96507/hed_matsuya1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/347e1d81668f4c1da17e7cac647eb254/icon_matsuya.jpg,"<p><span style=""color:#000000"">晩春から初夏にかけて様々な旬の食材をご用意しております。</span></p>",毎日（定休日は日曜日、第2日曜日の翌日）,17時30分〜22時　(ラストオーダー21時),,,店頭にて,"shopping",福井県鯖江市本町1丁目1-16,0778-52-1414,https://www.city.sabae.fukui.jp/kanko/gourmet/matsuya.html,https://sabapura.com/event/matsuya,2021-05-01T12:23:56.775Z,2021-03-30T05:10:58.345Z,2021-04-26T08:03:54.841Z
植田家長屋門,植田家長屋門,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/088702b23a92474da9bb8e13252a57af/top_uedatei.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/uedake.html,https://sabapura.com/event/uedake,2021-04-08T12:37:01.247Z,2021-03-30T06:39:41.134Z,2021-03-31T04:01:15.957Z
オリジナルメッセージ入りボールペン,ニシザワ紙文具,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4b49b34524f64cb6a1db3568eed1b220/top_penmessage.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/dd8d7556696d4d66872992ae1585be3e/hed_nisizawa1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/8357f39cc9334162bb56273864466295/icon_nishizawa.jpg,"<p><span style=""color:#000000"">今年もやります！現在1番人気のボールペン、ゼブラさんのブレンにメッセージを入れてパパにプレゼントしよう。</span><br><span style=""color:#000000"">注文後2日〜3日で完成、受け渡しとなります。</span></p>",最終受付6月17日,10時〜19時,"定員",,300円又は500円,"shopping",鯖江市旭町1-6-10,0778-51-2430,http://www.2430bungu.co.jp/,https://sabapura.com/event/2430bungu,2021-05-01T12:25:19.634Z,2021-04-08T09:34:54.108Z,2021-04-26T04:12:41.215Z
国産牛のステーキ重,ミート＆デリカささき,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/79605005d97249269cc3de5074d12e87/top_stekidon.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/c5705ffbef26419fbc6c0711311150b6/hed_sasakimeat1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/14a7a945a18d45e2924529ccadc973dd/icon_sasaki.jpg,"<p><span style=""color:#000000"">当店の人気のお弁当のひとつで、お肉屋さんが厳選した国産牛のもも肉を使用しております。</span><br><span style=""color:#000000"">また、ご飯は福井県産コシヒカリにこだわり、ステーキソースは手作りのオリジナルソースです。</span><br><br><span style=""color:#000000"">この機会に是非お立ち寄り下さいませ。</span></p>",毎日（定休日：日曜）,10時～19時,,,店頭にて,"shopping",鯖江市本町3-1-5,0778-52-4129,https://www.meat-sasaki.com,https://sabapura.com/event/meat-sasaki,2021-05-07T09:56:10.950Z,2021-04-06T04:58:18.174Z,2021-05-07T09:56:10.950Z
王山古墳群,王山古墳群,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/7630316bf46e4d8e9153a7c567bf783a/top_ozan.jpg,,,,,,,,,"history",,,https://www.city.sabae.fukui.jp/kanko/sightseeing/ozankohun.html,https://sabapura.com/event/ozankohun,2021-04-06T03:10:37.296Z,2021-03-30T06:48:35.262Z,2021-03-31T04:01:51.732Z
