title,name_shop,image,image_header,image_icon,description,date,time,limited,capacity,cost,tag,address,contact,url_shop,url,updatedAt,createdAt,revisedAt,geo3x3
食器でいけ花ワークショップ,きものサロンまるよ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/25d63d0be41943eb87f3dfaed10012c0/maruyo6%E6%9C%88.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/12c64f8bd6f144399c6f20cb03c933c4/hed_maruyo1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/604757b6b32541ed8012e8ff0ae32bf7/icon_maruyo.jpg,"<p><span style=""color:#000000"">キッチンでいけ花しませんか？</span><br><span style=""color:#000000"">台所にある食器と、アルミワイヤーを使って、簡単、楽しいいけ花してみましょう。</span><br><span style=""color:#000000"">お花は野の草花でも、なんでもOK。</span><br><span style=""color:#000000"">お花があると、お部屋が明るくなりますよ♪</span><br><br><span style=""color:#000000"">お花、アルミワイヤーはご用意しますので、器はご持参ください。</span><br><span style=""color:#000000"">貸与も可能ですので、おうちに帰ってご自身のお気に入り器に生けなおしてみてください。</span></p>",6月19日,10時～11時30分,定員,6名,2000円,workshop,鯖江市本町2-1-20,0778-51-0236,https://sabae-mamama.com/prolist/%e5%80%89%e6%a9%8b%e3%80%80%e7%a5%a5%e5%ad%90/,https://sabapura.com/event/maruyo,2021-05-29T08:49:26.405Z,2021-03-30T07:31:21.971Z,2021-05-29T08:49:26.405Z,E91387322936977
車の道場（上野別堂）,車の道場（上野別堂）,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/05d355d03bbf4e01a028b80cd53ce7b2/top_kumanodojo.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/kurumanodojyo.html,https://sabapura.com/event/kurumanodojyo,2021-05-26T17:01:09.594Z,2021-05-06T06:42:34.266Z,2021-05-26T17:01:09.594Z,E9138732266618
サバエドッグ,ミート＆デリカささき,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/49c02b93b7604bbbb32c721d68798152/top_sasakimeat.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/c5705ffbef26419fbc6c0711311150b6/hed_sasakimeat1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/14a7a945a18d45e2924529ccadc973dd/icon_sasaki.jpg,"<p><span style=""color:#000000"">～歩くソースカツ丼  サバエドッグ～</span><br><br><span style=""color:#000000"">福井の名物であるソースカツ丼を、もっと手軽に味わって欲しい思いから完成したサバエドッグ。</span><br><span style=""color:#000000"">特製ソースを絡めた衣の中には、福井県産コシヒカリのご飯と国産豚肉が入っていて、ひとくち食べるとまさにソースカツ丼！</span><br><br><span style=""color:#000000"">今はソースのバリエーションも増え、また、トッピングもご用意しております。</span><br><br><span style=""color:#000000"">この機会に是非お立ち寄り下さいませ。</span></p>",毎日（定休日：日曜）,10時～19時,,,店頭にて,shopping,鯖江市本町3-1-5,0778-52-4129,https://www.meat-sasaki.com,https://sabapura.com/event/meat-sasaki,2021-06-09T08:57:53.414Z,2021-04-06T04:58:18.174Z,2021-06-09T08:57:53.414Z,E91387322939171
贈り物を探しに,富士書店,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/a57d419006254418bed314d3149688a6/top_sanrio.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/57741a13fcf847c281f7e24b8dd43c0e/hed_fujisyoten2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/ecfe198ff8bf48cba5bdaee2f4c01d23/icon_fujisyoten.jpg,"<p><span style=""color:#000000"">富士書店は、本の販売の他、雑貨・お飲み物をご用意しています。</span><br><span style=""color:#000000"">今月は、懐かしいサンリオキャラクターの書籍や雑貨コーナーをご用意しました。</span><br><span style=""color:#000000"">お買い物をしたり、本を読んだり…ぜひ遊びにいらしてください。</span><br><br><span style=""color:#000000"">6月の ～小さなお楽しみ 富士商店～ は </span><br><span style=""color:#000000"">6月3日（木）・10日（木）・17日（木）・24日（木）・26日（土）</span><br><span style=""color:#000000"">「おむすびや」こだわりのおいしいおむすび</span><br><span style=""color:#000000"">「 マーケット・エリー 」無農薬野菜や、ハンカチ・塩・卵など</span><br><span style=""color:#000000"">※詳細はInstagramにてご案内いたします。</span></p>",6月3日・10日・17日・24日・26日,12時～18時（富士商店の日は17時）,定員,出入り自由,,shopping,鯖江市本町1-1-20,090-3887-1388,https://fujisyoten.storeinfo.jp/,https://sabapura.com/event/fujisyoten,2021-06-04T04:31:21.512Z,2021-03-31T07:00:46.178Z,2021-06-04T04:31:21.512Z,E91387322699884
オリジナルメッセージ入りボールペン,ニシザワ紙文具,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4b49b34524f64cb6a1db3568eed1b220/top_penmessage.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/dd8d7556696d4d66872992ae1585be3e/hed_nisizawa1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/8357f39cc9334162bb56273864466295/icon_nishizawa.jpg,"<p><span style=""color:#000000"">今年もやります！現在1番人気のボールペン、ゼブラさんのブレンにメッセージを入れてパパにプレゼントしよう。</span><br><span style=""color:#000000"">注文後2日〜3日で完成、受け渡しとなります。</span></p>",最終受付6月17日,10時〜19時,定員,,300円又は500円,shopping,鯖江市旭町1-6-10,0778-51-2430,http://www.2430bungu.co.jp/,https://sabapura.com/event/2430bungu,2021-05-29T08:50:39.738Z,2021-04-08T09:34:54.108Z,2021-05-29T08:50:39.738Z,E9138732293394
本山 誠照寺,本山 誠照寺,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/f4823ea021a44bb7ad217a861aa3ff63/top_jyosyoji.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/jyousyouji.html,https://sabapura.com/event/jyosyoji,2021-05-26T17:02:36.323Z,2021-03-30T06:45:31.903Z,2021-05-26T17:02:36.323Z,E913873229379
レトロなお弁当箱,サイトカナモノ,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/360e5a2054e5453dab1bb96be82354cf/top_bentobako.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/166f720aa6aa4a7082b32f88fed50502/hed_saitokanamono1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0bf47b26176a42f088cec5e7cea15555/icon_saitokanamono.jpg,<p>アルミでできた昔ながらのお弁当箱。<br>レトロ感がとてもかわいくて人気です。<br></p>,毎日（定休日：日曜）,7時30分～18時30分,定員,,店頭にて,shopping,鯖江市本町3丁目1-2,0778-51-0051,https://saito-kanamono.com/,https://sabapura.com/event/saito-kanamono,2021-05-29T08:51:17.077Z,2021-03-30T07:38:43.607Z,2021-05-29T08:51:17.077Z,E91387322939257
恵美写真館洋館,恵美写真館洋館,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/5822d5287e1149998d338879e8135d74/top_emi.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/emisyasinkan.html,https://sabapura.com/event/emisyasinkan,2021-05-26T17:09:17.611Z,2021-04-08T03:08:29.615Z,2021-05-26T17:09:17.611Z,E91387322939618
松阜神社,松阜神社,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/6624237812a64a75a728ac8bef6bae3e/top_matsuokajinjya.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/matsuoka.html,https://sabapura.com/event/matsuokajinjya,2021-05-26T06:10:35.010Z,2021-03-30T06:13:40.627Z,2021-05-26T06:10:35.010Z,E9138732371213
わらび餅,昭和堂,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/1434ccfc8e044bdd9b799dc56b7de285/top_warabimoti.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/779fb804620b451cbd08b1469c406f61/hed_syowado1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/1d13c00c3397416fa5e977984294a888/icon_syowado.jpg,"<p><span style=""color:#000000"">ぷるんと瑞々しい食感と、香ばしいきなこのわらび餅</span><br><span style=""color:#000000"">GWの頃には待ちわびてるお客様も多く、当店の人気商品の１つです</span><br><span style=""color:#000000"">どうぞ、ご賞味ください（期間限定）</span></p>",毎日（定休日：火曜）,9時〜19時,,,店頭にて,shopping,鯖江市本町1-1-21,0778-51-0458,,https://sabapura.com/event/syowado,2021-05-29T08:54:38.551Z,2021-04-08T09:31:02.568Z,2021-05-29T08:54:38.551Z,E91387322699881
へしこ丼とへしこおにぎり,天喰家,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/0ad9902d679c4702b34873c676161904/top_tennkuu.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/bb8bde16f9114197a20604ce4597f2c7/hed_tennkuu1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/783642349edf40fbb18a2b1d4aa2ea35/icon_tenkuya.jpg,"<p><span style=""color:#000000"">営業時間内でしたらへしこおにぎり、へしこ丼はご来店テイクアウト可能です。数が多い場合はあらかじめご連絡下さい。</span><br><span style=""color:#000000"">他お弁当オードブルお刺身盛りなど、お昼のご予約も承っております。（配達可）※事前予約必要</span><br><br><span style=""color:#000000"">店内個室もありますので、ご家族、友人、接待、などでもご利用頂けます。カウンターや小上がりのテーブル席もありますので居酒屋デビューにいかがでしょうか。</span></p>",毎日（定休日：毎週水曜）,18時〜23時,,,店頭にて,shopping,鯖江市旭町1-8-1-1,0778-52-6424,,https://sabapura.com/event/tenkuya,2021-05-29T08:55:12.511Z,2021-04-08T09:27:23.296Z,2021-05-29T08:55:12.511Z,E91387322699861
地蔵橋,地蔵橋,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/4a282d9ddcb5441e9a21811a13a14dd6/top_jizobashi.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/zizoubashi.html,https://sabapura.com/event/zizoubashi,2021-05-26T06:12:21.734Z,2021-03-30T07:09:20.729Z,2021-05-26T06:12:21.734Z,E91387322969718
春のおすすめ食材,旬亭まつや,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/3534b245d4f04bc3b2002ae4848b2890/top_sakana.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/2a91c2c0d02848cab6718e33eea96507/hed_matsuya1.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/347e1d81668f4c1da17e7cac647eb254/icon_matsuya.jpg,"<p><span style=""color:#000000"">晩春から初夏にかけて様々な旬の食材をご用意しております。</span></p>",毎日（定休日は日曜日、第2日曜日の翌日）,17時30分〜22時　(ラストオーダー21時),,,店頭にて,shopping,鯖江市本町1丁目1-16,0778-52-1414,https://www.city.sabae.fukui.jp/kanko/gourmet/matsuya.html,https://sabapura.com/event/matsuya,2021-05-29T08:55:37.843Z,2021-03-30T05:10:58.345Z,2021-05-29T08:55:37.843Z,E91387322933271
マンゴーとココナッツのスコーン限定販売,エルザスコーヒー,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/fa4560599959447193f8a2ce06798f88/mango%26coconut.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/11c5d6808eb842f98e30df354f8e6c0b/hed_elsass2.jpg,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/057807d465714016aeb8a1d5f73ad9cf/icon_eelsass.jpg,"<p><span style=""color:#000000"">マンゴーとココナッツが入ったトロピカルなスコーン。</span><br><span style=""color:#000000"">夏にぴったりなスコーンを限定販売。</span></p>",6月19日,11時～18時,,,店頭にて,shopping,鯖江市本町2-1-20,0778-51-0236,https://www.city.sabae.fukui.jp/kanko/gourmet/elsass.html,https://sabapura.com/event/elsass-coffee,2021-06-04T07:12:21.600Z,2021-03-30T07:46:53.466Z,2021-06-04T07:12:21.600Z,E91387322936265
植田家長屋門,植田家長屋門,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/088702b23a92474da9bb8e13252a57af/top_uedatei.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/uedake.html,https://sabapura.com/event/uedake,2021-05-26T06:13:51.617Z,2021-03-30T06:39:41.134Z,2021-05-26T06:13:51.617Z,E91387323711595
王山古墳群,王山古墳群,https://images.microcms-assets.io/assets/89b9b9bdfc6d446187f34fca29e4fe6a/7630316bf46e4d8e9153a7c567bf783a/top_ozan.jpg,,,,,,,,,history,,,https://www.city.sabae.fukui.jp/kanko/sightseeing/ozankohun.html,https://sabapura.com/event/ozankohun,2021-05-26T16:56:56.821Z,2021-03-30T06:48:35.262Z,2021-05-26T16:56:56.821Z,E91387322665
